(:	679	0
<#>	2115	361
But	506	57
Haha	3300	57
Haha.	746	0
Hahaha	981	4
Hey	609	29
I	9123	1173
I'm	565	359
Lol	989	128
No	426	86
Oh	713	51
Ok	483	34
So	427	109
U	677	36
Yeah	504	60
a	1480	780
all	700	124
also	535	30
and	1662	549
are	676	272
at	2063	241
back	442	90
be	1287	332
but	909	160
can	1594	249
come	431	87
do	800	149
don't	401	101
dun	673	0
for	2155	446
from	411	107
get	524	250
go	1715	95
going	791	67
got	1357	118
haha	979	4
have	1012	301
he	590	72
home	480	50
how	446	97
i	1052	280
if	955	166
in	1534	402
is	1732	360
it	1142	312
just	1172	212
know	515	200
le	703	2
like	679	154
me	1574	357
meet	562	37
my	2001	355
need	678	108
no	969	64
not	1416	190
now	632	78
of	1095	278
on	1131	294
one	653	66
or	644	114
out	440	141
see	672	98
so	1788	229
still	589	91
that	717	288
the	4160	1043
then	1128	58
think	760	68
this	402	127
time	829	86
to	5126	1237
u	3531	213
up	571	183
ur	562	5
want	587	120
was	549	150
we	934	179
what	598	112
when	561	175
will	881	180
with	828	194
you	3018	1278
your	861	319
